player_id,player_name,season,round_number,round_pick,overall_pick,draft_type,team_id,team_city,team_nickname,team_abbreviation,organization,organization_type,player_profile_flag,team_name,position,height,height_ft_in,height_shoes,height_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,modified_lane_agility_time,three_quarter_sprint,bench_press
1641708,Amen Thompson,2023,1,4,4,Draft,1610612745,Houston,Rockets,HOU,Overtime Elite,Other Team/Club,1,Houston Rockets,SG,77.75,6' 5.75'',,,214.2,84.0,7' 0.00'',103.5,8' 7.50'',,8.5,8.5,,,,,
1641709,Ausar Thompson,2023,1,5,5,Draft,1610612765,Detroit,Pistons,DET,Overtime Elite,Other Team/Club,1,Detroit Pistons,SG,77.75,6' 5.75'',,,218.2,84.0,7' 0.00'',104.0,8' 8.00'',,8.75,9.25,,,,,
1641710,Anthony Black,2023,1,6,6,Draft,1610612753,Orlando,Magic,ORL,Arkansas,College/University,1,Orlando Magic,PG,77.75,6' 5.75'',,,210.0,79.5,6' 7.50'',102.5,8' 6.50'',,8.25,9.5,32.0,39.0,,3.35,
1641716,Jarace Walker,2023,1,8,8,Draft,1610612764,Washington,Wizards,WAS,Houston,College/University,1,Washington Wizards,PF,78.5,6' 6.50'',,,248.6,86.5,7' 2.50'',104.5,8' 8.50'',,9.0,10.0,34.5,38.0,,3.2,
1641707,Taylor Hendricks,2023,1,9,9,Draft,1610612762,Utah,Jazz,UTA,Central Florida,College/University,1,Utah Jazz,PF,80.25,6' 8.25'',,,213.6,84.5,7' 0.50'',107.0,8' 11.00'',,9.25,10.25,32.5,36.0,,3.32,
1641717,Cason Wallace,2023,1,10,10,Draft,1610612742,Dallas,Mavericks,DAL,Kentucky,College/University,1,Dallas Mavericks,PG,74.5,6' 2.50'',,,195.2,80.5,6' 8.50'',101.0,8' 5.00'',,8.5,9.25,28.0,36.0,,3.34,
1641711,Gradey Dick,2023,1,13,13,Draft,1610612761,Toronto,Raptors,TOR,Kansas,College/University,1,Toronto Raptors,SG,78.25,6' 6.25'',,,204.0,80.75,6' 8.75'',101.0,8' 5.00'',,8.25,9.0,29.0,34.0,2.98,3.5,
1641722,Jordan Hawkins,2023,1,14,14,Draft,1610612740,New Orleans,Pelicans,NOP,Connecticut,College/University,1,New Orleans Pelicans,SG,76.25,6' 4.25'',,,186.0,78.75,6' 6.75'',101.5,8' 5.50'',,8.25,8.75,,,,,
1641723,Kobe Bufkin,2023,1,15,15,Draft,1610612737,Atlanta,Hawks,ATL,Michigan,College/University,1,Atlanta Hawks,SG,76.25,6' 4.25'',,,186.8,79.75,6' 7.75'',102.5,8' 6.50'',,8.0,9.25,29.0,36.0,,3.26,
1641720,Jalen Hood-Schifino,2023,1,17,17,Draft,1610612747,Los Angeles,Lakers,LAL,Indiana,College/University,1,Los Angeles Lakers,PG,76.25,6' 4.25'',,,216.6,82.25,6' 10.25'',100.5,8' 4.50'',,9.0,9.75,,,,,
1631170,Jaime Jaquez Jr.,2023,1,18,18,Draft,1610612748,Miami,Heat,MIA,California-Los Angeles,College/University,1,Miami Heat,SF,78.0,6' 6.00'',,,226.4,81.5,6' 9.50'',99.5,8' 3.50'',,8.5,9.5,34.5,39.0,,3.33,
1641764,Brandin Podziemski,2023,1,19,19,Draft,1610612744,Golden State,Warriors,GSW,Santa Clara,College/University,1,Golden State Warriors,SG,75.75,6' 3.75'',,,203.8,77.5,6' 5.50'',96.5,8' 0.50'',,8.25,10.0,31.5,39.0,3.2,3.21,
1641715,Cam Whitmore,2023,1,20,20,Draft,1610612745,Houston,Rockets,HOU,Villanova,College/University,1,Houston Rockets,SF,77.75,6' 5.75'',,,235.0,80.5,6' 8.50'',103.5,8' 7.50'',,8.0,8.25,31.5,40.5,3.33,3.2,
1641727,Dariq Whitehead,2023,1,22,22,Draft,1610612751,Brooklyn,Nets,BKN,Duke,College/University,1,Brooklyn Nets,SG,77.75,6' 5.75'',,,217.2,82.25,6' 10.25'',103.5,8' 7.50'',,8.5,10.0,,,,,
1631200,Kris Murray,2023,1,23,23,Draft,1610612757,Portland,Trail Blazers,POR,Iowa,College/University,1,Portland Trail Blazers,PF,79.75,6' 7.75'',,,212.8,83.75,6' 11.75'',106.0,8' 10.00'',,8.5,9.0,29.5,35.0,,3.3,
1641765,Olivier-Maxence Prosper,2023,1,24,24,Draft,1610612758,Sacramento,Kings,SAC,Marquette,College/University,1,Sacramento Kings,PF,78.75,6' 6.75'',,,212.4,85.0,7' 1.00'',104.0,8' 8.00'',,8.25,10.0,35.0,40.5,3.0,3.21,
