Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,Final Sweep ?,MVP Name,MVP Height (m),MVP Height (ft),MVP Position,MVP Team,MVP Nationality,MVP status,Finals MVP
1956,Fort Wayne Pistons,Philadelphia Warriors,1–4,Philadelphia Warriors,Fort Wayne Pistons,False,B. Pettit,2.06,6.75853,Forward,Saint Louis Hawks,US,Not reached Final,Bob Pettit
1957,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,False,B. Cousy,1.85,6.069554,Guard,Boston Celtics,US,Champion,Bob Cousy
1958,St. Louis Hawks,Boston Celtics,4–2,St. Louis Hawks,Boston Celtics,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Vice-Champion,Bill Russell
1959,Minneapolis Lakers,Boston Celtics,0–4,Boston Celtics,Minneapolis Lakers,True,B. Pettit,2.06,6.75853,Forward,Saint Louis Hawks,US,Not reached Final,Elgin Baylor
1960,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia Warriors,US,Not reached Final,Bill Russell
1961,St. Louis Hawks,Boston Celtics,1–4,Boston Celtics,St. Louis Hawks,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion,Bill Russell
1962,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion,Bill Russell
1963,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion,Bill Russell
1964,San Francisco Warriors,Boston Celtics,1–4,Boston Celtics,San Francisco Warriors,False,O. Robertson,1.96,6.430446,Guard,Cincinnati Royals,US,Not reached Final,Jerry West
1965,Los Angeles Lakers,Boston Celtics,1–4,Boston Celtics,Los Angeles Lakers,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion,Jerry Lucas
1966,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia 76ers,US,Not reached Final,Bill Russell
1967,San Francisco Warriors,Philadelphia 76ers,2–4,Philadelphia 76ers,San Francisco Warriors,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia 76ers,US,Champion,Wilt Chamberlain
1968,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia 76ers,US,Not reached Final,Bill Russell
1969,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,W. Unseld,2.01,6.594488,Center,Baltimore Bullets,US,Not reached Final,Jerry West
1970,Los Angeles Lakers,New York Knicks,3–4,New York Knicks,Los Angeles Lakers,False,W. Reed,2.06,6.75853,Center,New York Knicks,US,Champion,Willis Reed
1971,Milwaukee Bucks,Baltimore Bullets,4–0,Milwaukee Bucks,Baltimore Bullets,True,K. AJabbar,2.18,7.152231,Center,Milwaukee Bucks,US,Champion,K. Ajabbar
1972,Los Angeles Lakers,New York Knicks,4–1,Los Angeles Lakers,New York Knicks,False,K. AJabbar,2.18,7.152231,Center,Milwaukee Bucks,US,Not reached Final,Wilt Chamberlain
1973,Los Angeles Lakers,New York Knicks,1–4,New York Knicks,Los Angeles Lakers,False,D. Cowens,2.06,6.75853,Center,Boston Celtics,US,Not reached Final,Willis Reed
1974,Milwaukee Bucks,Boston Celtics,3–4,Boston Celtics,Milwaukee Bucks,False,K. AJabbar,2.18,7.152231,Center,Milwaukee Bucks,US,Vice-Champion,John Havlicek
1975,Golden State Warriors,Washington Bullets,4–0,Golden State Warriors,Washington Bullets,True,B. McAdoo,2.06,6.75853,Center,Buffalo Braves,US,Not reached Final,Rick Barry
1976,Phoenix Suns,Boston Celtics,2–4,Boston Celtics,Phoenix Suns,False,K. AJabbar,2.18,7.152231,Center,Los Angeles Lakers,US,Not reached Final,Joe White
1977,Portland Trail Blazers,Philadelphia 76ers,4–2,Portland Trail Blazers,Philadelphia 76ers,False,K. A-Jabbar,2.18,7.152231,Center,Los Angeles Lakers,US,Not reached Final,Bill Walton
1978,Seattle SuperSonics,Washington Bullets,3–4,Washington Bullets,Seattle SuperSonics,False,B. Walton,2.11,6.922572,Center,Portland Trail Blazers,US,Not reached Final,Wes Unseld
1979,Seattle SuperSonics,Washington Bullets,4–1,Seattle SuperSonics,Washington Bullets,False,M. Malone,2.08,6.824147,Center,Houston Rockets,US,Not reached Final,Dennis Johnson
1980,Los Angeles Lakers,Philadelphia 76ers,4–2,Los Angeles Lakers,Philadelphia 76ers,False,K. AJabbar,2.18,7.152231,Center,Los Angeles Lakers,US,Champion,Magic Johnson
1981,Houston Rockets,Boston Celtics,2–4,Boston Celtics,Houston Rockets,False,J. Erving,2.01,6.594488,Forward,Philadelphia 76ers,US,Not reached Final,Cedric Maxwell
1982,Los Angeles Lakers,Philadelphia 76ers,4–2,Los Angeles Lakers,Philadelphia 76ers,False,M. Malone,2.08,6.824147,Center,Houston Rockets,US,Not reached Final,Magic Johnson
1983,Los Angeles Lakers,Philadelphia 76ers,0–4,Philadelphia 76ers,Los Angeles Lakers,True,M. Malone,2.08,6.824147,Center,Philadelphia 76ers,US,Champion,Moses Malone
1984,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,L. Bird,2.06,6.75853,Forward,Boston Celtics,US,Champion,Larry Bird
1985,Los Angeles Lakers,Boston Celtics,4–2,Los Angeles Lakers,Boston Celtics,False,L. Bird,2.06,6.75853,Forward,Boston Celtics,US,Vice-Champion,K. Ajabbar
1986,Houston Rockets,Boston Celtics,2–4,Boston Celtics,Houston Rockets,False,L. Bird,2.06,6.75853,Forward,Boston Celtics,US,Champion,Larry Bird
1987,Los Angeles Lakers,Boston Celtics,4–2,Los Angeles Lakers,Boston Celtics,False,M. Johnson,2.06,6.75853,Guard,Los Angeles Lakers,US,Champion,Magic Johnson
