player_id,player_name,trade_year,team_traded_from,team_traded_to
920,A.C. Green,1993-94,Los Angeles Lakers,Phoenix Suns
920,A.C. Green,1996-97,Phoenix Suns,Dallas Mavericks
920,A.C. Green,1999-00,Dallas Mavericks,Los Angeles Lakers
920,A.C. Green,2000-01,Los Angeles Lakers,Miami Heat
2062,A.J. Guyton,2002-03,Chicago Bulls,Golden State Warriors
1630639,A.J. Lawson,2022-23,Minnesota Timberwolves,Dallas Mavericks
201985,AJ Price,2012-13,Indiana Pacers,Washington Wizards
201985,AJ Price,2013-14,Washington Wizards,Minnesota Timberwolves
201985,AJ Price,2014-15,Minnesota Timberwolves,Indiana Pacers
201985,AJ Price,2014-15,Indiana Pacers,Cleveland Cavaliers
201985,AJ Price,2014-15,Cleveland Cavaliers,Phoenix Suns
201166,Aaron Brooks,2010-11,Houston Rockets,Phoenix Suns
201166,Aaron Brooks,2012-13,Sacramento Kings,Houston Rockets
201166,Aaron Brooks,2013-14,Houston Rockets,Denver Nuggets
201166,Aaron Brooks,2016-17,Chicago Bulls,Indiana Pacers
201166,Aaron Brooks,2017-18,Indiana Pacers,Minnesota Timberwolves
203932,Aaron Gordon,2020-21,Orlando Magic,Denver Nuggets
201189,Aaron Gray,2009-10,Chicago Bulls,New Orleans Pelicans
201189,Aaron Gray,2011-12,New Orleans Pelicans,Toronto Raptors
201189,Aaron Gray,2013-14,Toronto Raptors,Sacramento Kings
1626151,Aaron Harrison,2017-18,Charlotte Hornets,Dallas Mavericks
1628988,Aaron Holiday,2021-22,Indiana Pacers,Washington Wizards
1628988,Aaron Holiday,2021-22,Washington Wizards,Phoenix Suns
1628988,Aaron Holiday,2023-24,Atlanta Hawks,Houston Rockets
243,Aaron McKie,1996-97,Portland Trail Blazers,Detroit Pistons
243,Aaron McKie,1997-98,Detroit Pistons,Philadelphia 76ers
243,Aaron McKie,2005-06,Philadelphia 76ers,Los Angeles Lakers
1630174,Aaron Nesmith,2022-23,Boston Celtics,Indiana Pacers
1425,Aaron Williams,1994-95,Utah Jazz,Milwaukee Bucks
1425,Aaron Williams,1996-97,Milwaukee Bucks,Denver Nuggets
1425,Aaron Williams,1996-97,Denver Nuggets,Memphis Grizzlies
1425,Aaron Williams,1999-00,Oklahoma City Thunder,Washington Wizards
1425,Aaron Williams,2000-01,Washington Wizards,Brooklyn Nets
1425,Aaron Williams,2004-05,Brooklyn Nets,Toronto Raptors
1425,Aaron Williams,2005-06,Toronto Raptors,New Orleans Pelicans
1627846,Abdel Nader,2018-19,Boston Celtics,Oklahoma City Thunder
1627846,Abdel Nader,2020-21,Oklahoma City Thunder,Phoenix Suns
77126,Abdul Jeelani,1980-81,Portland Trail Blazers,Dallas Mavericks
768,Acie Earl,1995-96,Boston Celtics,Toronto Raptors
768,Acie Earl,1996-97,Toronto Raptors,Milwaukee Bucks
201151,Acie Law,2009-10,Atlanta Hawks,Golden State Warriors
201151,Acie Law,2009-10,Golden State Warriors,Charlotte Hornets
201151,Acie Law,2009-10,Charlotte Hornets,Chicago Bulls
201151,Acie Law,2010-11,Memphis Grizzlies,Golden State Warriors
2492,Adam Harrington,2002-03,Dallas Mavericks,Denver Nuggets
228,Adam Keefe,1994-95,Atlanta Hawks,Utah Jazz
228,Adam Keefe,2000-01,Utah Jazz,Golden State Warriors
200747,Adam Morrison,2008-09,Charlotte Hornets,Los Angeles Lakers
1629678,Admiral Schofield,2021-22,Washington Wizards,Orlando Magic
1502,Adonal Foyle,2007-08,Golden State Warriors,Orlando Magic
1502,Adonal Foyle,2008-09,Orlando Magic,Memphis Grizzlies
1502,Adonal Foyle,2008-09,Memphis Grizzlies,Orlando Magic
1817,Adonis Jordan,1998-99,Denver Nuggets,Milwaukee Bucks
203519,Adonis Thomas,2013-14,Orlando Magic,Philadelphia 76ers
203940,Adreian Payne,2014-15,Atlanta Hawks,Minnesota Timberwolves
203940,Adreian Payne,2017-18,Minnesota Timberwolves,Orlando Magic
76237,Adrian Branch,1987-88,Los Angeles Lakers,Brooklyn Nets
76237,Adrian Branch,1988-89,Brooklyn Nets,Portland Trail Blazers
76237,Adrian Branch,1989-90,Portland Trail Blazers,Minnesota Timberwolves
154,Adrian Caldwell,1995-96,Houston Rockets,Indiana Pacers
154,Adrian Caldwell,1996-97,Indiana Pacers,Brooklyn Nets
154,Adrian Caldwell,1996-97,Brooklyn Nets,Philadelphia 76ers
76504,Adrian Dantley,1977-78,Los Angeles Clippers,Indiana Pacers
76504,Adrian Dantley,1977-78,Indiana Pacers,Los Angeles Lakers
76504,Adrian Dantley,1979-80,Los Angeles Lakers,Utah Jazz
76504,Adrian Dantley,1986-87,Utah Jazz,Detroit Pistons
76504,Adrian Dantley,1988-89,Detroit Pistons,Dallas Mavericks
76504,Adrian Dantley,1990-91,Dallas Mavericks,Milwaukee Bucks
1559,Adrian Griffin,2001-02,Boston Celtics,Dallas Mavericks
1559,Adrian Griffin,2003-04,Dallas Mavericks,Houston Rockets
1559,Adrian Griffin,2004-05,Houston Rockets,Chicago Bulls
1559,Adrian Griffin,2005-06,Chicago Bulls,Dallas Mavericks
1559,Adrian Griffin,2006-07,Dallas Mavericks,Chicago Bulls
1559,Adrian Griffin,2007-08,Chicago Bulls,Oklahoma City Thunder
78178,Adrian Smith,1969-70,Sacramento Kings,Golden State Warriors
76319,Al Butler,1964-65,New York Knicks,Washington Wizards
76708,Al Ferrari,1962-63,Atlanta Hawks,Washington Wizards
1733,Al Harrington,2004-05,Indiana Pacers,Atlanta Hawks
1733,Al Harrington,2006-07,Atlanta Hawks,Indiana Pacers
1733,Al Harrington,2006-07,Indiana Pacers,Golden State Warriors
1733,Al Harrington,2008-09,Golden State Warriors,New York Knicks
1733,Al Harrington,2010-11,New York Knicks,Denver Nuggets
1733,Al Harrington,2012-13,Denver Nuggets,Orlando Magic
1733,Al Harrington,2013-14,Orlando Magic,Washington Wizards
201143,Al Horford,2016-17,Atlanta Hawks,Boston Celtics
201143,Al Horford,2019-20,Boston Celtics,Philadelphia 76ers
201143,Al Horford,2020-21,Philadelphia 76ers,Oklahoma City Thunder
201143,Al Horford,2021-22,Oklahoma City Thunder,Boston Celtics
2744,Al Jefferson,2007-08,Boston Celtics,Minnesota Timberwolves
2744,Al Jefferson,2010-11,Minnesota Timberwolves,Utah Jazz
2744,Al Jefferson,2013-14,Utah Jazz,Charlotte Hornets
2744,Al Jefferson,2016-17,Charlotte Hornets,Indiana Pacers
77482,Al Masino,1953-54,Atlanta Hawks,Philadelphia 76ers
78167,Al Skinner,1977-78,Brooklyn Nets,Detroit Pistons
78167,Al Skinner,1978-79,Philadelphia 76ers,Brooklyn Nets
201154,Al Thornton,2009-10,Los Angeles Clippers,Washington Wizards
201154,Al Thornton,2010-11,Washington Wizards,Golden State Warriors
78372,Al Tucker,1968-69,Oklahoma City Thunder,Sacramento Kings
78372,Al Tucker,1969-70,Washington Wizards,Chicago Bulls
78610,Al Wood,1981-82,Atlanta Hawks,Los Angeles Clippers
78610,Al Wood,1983-84,Los Angeles Clippers,Oklahoma City Thunder
78610,Al Wood,1986-87,Oklahoma City Thunder,Dallas Mavericks
202329,Al-Farouq Aminu,2011-12,Los Angeles Clippers,New Orleans Pelicans
202329,Al-Farouq Aminu,2014-15,New Orleans Pelicans,Dallas Mavericks
202329,Al-Farouq Aminu,2015-16,Dallas Mavericks,Portland Trail Blazers
202329,Al-Farouq Aminu,2019-20,Portland Trail Blazers,Orlando Magic
202329,Al-Farouq Aminu,2020-21,Orlando Magic,Chicago Bulls
76001,Alaa Abdelnaby,1992-93,Portland Trail Blazers,Milwaukee Bucks
76001,Alaa Abdelnaby,1992-93,Milwaukee Bucks,Boston Celtics
76001,Alaa Abdelnaby,1994-95,Boston Celtics,Sacramento Kings
76001,Alaa Abdelnaby,1994-95,Sacramento Kings,Philadelphia 76ers
101187,Alan Anderson,2011-12,Charlotte Hornets,Toronto Raptors
101187,Alan Anderson,2013-14,Toronto Raptors,Brooklyn Nets
101187,Alan Anderson,2015-16,Brooklyn Nets,Washington Wizards
101187,Alan Anderson,2016-17,Washington Wizards,Los Angeles Clippers
76947,Alan Hardy,1981-82,Los Angeles Lakers,Detroit Pistons
673,Alan Henderson,2004-05,Atlanta Hawks,Dallas Mavericks
673,Alan Henderson,2005-06,Dallas Mavericks,Cleveland Cavaliers
673,Alan Henderson,2006-07,Cleveland Cavaliers,Philadelphia 76ers
1628,Alan Ogg,1992-93,Miami Heat,Milwaukee Bucks
1628,Alan Ogg,1992-93,Milwaukee Bucks,Washington Wizards
1626210,Alan Williams,2018-19,Phoenix Suns,Brooklyn Nets
201169,Alando Tucker,2009-10,Phoenix Suns,Minnesota Timberwolves
77263,Albert King,1987-88,Brooklyn Nets,Philadelphia 76ers
77263,Albert King,1988-89,Philadelphia 76ers,San Antonio Spurs
77263,Albert King,1991-92,San Antonio Spurs,Washington Wizards
202692,Alec Burks,2018-19,Utah Jazz,Cleveland Cavaliers
202692,Alec Burks,2018-19,Cleveland Cavaliers,Sacramento Kings
202692,Alec Burks,2019-20,Golden State Warriors,Philadelphia 76ers
202692,Alec Burks,2022-23,New York Knicks,Detroit Pistons
202692,Alec Burks,2023-24,Detroit Pistons,New York Knicks
1893,Aleksandar Radojevic,2004-05,Toronto Raptors,Utah Jazz
1630197,Aleksej Pokusevski,2023-24,Oklahoma City Thunder,Charlotte Hornets
101165,Alex Acker,2008-09,Detroit Pistons,Los Angeles Clippers
1627936,Alex Caruso,2021-22,Los Angeles Lakers,Chicago Bulls
76673,Alex English,1978-79,Milwaukee Bucks,Indiana Pacers
76673,Alex English,1979-80,Indiana Pacers,Denver Nuggets
76673,Alex English,1990-91,Denver Nuggets,Dallas Mavericks
2682,Alex Garcia,2004-05,San Antonio Spurs,New Orleans Pelicans
76937,Alex Hannum,1951-52,Philadelphia 76ers,Sacramento Kings
76937,Alex Hannum,1954-55,Sacramento Kings,Atlanta Hawks
203458,Alex Len,2018-19,Phoenix Suns,Atlanta Hawks
203458,Alex Len,2019-20,Atlanta Hawks,Sacramento Kings
203458,Alex Len,2020-21,Toronto Raptors,Washington Wizards
1627816,Alex Poythress,2017-18,Philadelphia 76ers,Indiana Pacers
1627816,Alex Poythress,2018-19,Indiana Pacers,Atlanta Hawks
1627293,Alex Stepheson,2015-16,Los Angeles Clippers,Memphis Grizzlies
78261,Alex Stivrins,1992-93,Oklahoma City Thunder,Atlanta Hawks
78261,Alex Stivrins,1992-93,Atlanta Hawks,Los Angeles Clippers
78261,Alex Stivrins,1992-93,Los Angeles Clippers,Milwaukee Bucks
78261,Alex Stivrins,1992-93,Milwaukee Bucks,Phoenix Suns
200792,Alexander Johnson,2007-08,Memphis Grizzlies,Miami Heat
203144,Alexey Shved,2014-15,Minnesota Timberwolves,Philadelphia 76ers
203144,Alexey Shved,2014-15,Philadelphia 76ers,Houston Rockets
203144,Alexey Shved,2014-15,Houston Rockets,New York Knicks
201582,Alexis Ajinca,2010-11,Charlotte Hornets,Dallas Mavericks
201582,Alexis Ajinca,2010-11,Dallas Mavericks,Toronto Raptors
1628035,Alfonzo McKinnie,2018-19,Toronto Raptors,Golden State Warriors
1628035,Alfonzo McKinnie,2019-20,Golden State Warriors,Cleveland Cavaliers
1628035,Alfonzo McKinnie,2020-21,Cleveland Cavaliers,Los Angeles Lakers
1628035,Alfonzo McKinnie,2021-22,Los Angeles Lakers,Chicago Bulls
1628993,Alize Johnson,2020-21,Indiana Pacers,Brooklyn Nets
1628993,Alize Johnson,2021-22,Brooklyn Nets,Chicago Bulls
1628993,Alize Johnson,2021-22,Chicago Bulls,Washington Wizards
1628993,Alize Johnson,2021-22,Washington Wizards,New Orleans Pelicans
76257,Allan Bristow,1976-77,Philadelphia 76ers,San Antonio Spurs
76257,Allan Bristow,1979-80,San Antonio Spurs,Utah Jazz
76257,Allan Bristow,1981-82,Utah Jazz,Dallas Mavericks
275,Allan Houston,1996-97,Detroit Pistons,New York Knicks
203459,Allen Crabbe,2017-18,Portland Trail Blazers,Brooklyn Nets
203459,Allen Crabbe,2019-20,Brooklyn Nets,Atlanta Hawks
203459,Allen Crabbe,2019-20,Atlanta Hawks,Minnesota Timberwolves
947,Allen Iverson,2006-07,Philadelphia 76ers,Denver Nuggets
947,Allen Iverson,2008-09,Denver Nuggets,Detroit Pistons
947,Allen Iverson,2009-10,Memphis Grizzlies,Philadelphia 76ers
1631214,Alondes Williams,2023-24,Brooklyn Nets,Miami Heat
